link_id,source_level,target_level,retention_pct,x,y,y2
State_to_National,State,National,3.8,421.8,193.2,226.8
State_to_National,State,National,3.8,425.3,193.8,226.2
State_to_National,State,National,3.8,428.9,194.5,225.5
State_to_National,State,National,3.8,432.5,195.2,224.8
State_to_National,State,National,3.8,436.1,195.9,224.1
State_to_National,State,National,3.8,439.7,196.6,223.4
State_to_National,State,National,3.8,443.2,197.2,222.8
State_to_National,State,National,3.8,446.8,197.9,222.1
State_to_National,State,National,3.8,450.4,198.5,221.5
State_to_National,State,National,3.8,454.0,199.1,220.9
State_to_National,State,National,3.8,457.6,199.7,220.3
State_to_National,State,National,3.8,461.2,200.2,219.8
State_to_National,State,National,3.8,464.8,200.7,219.3
State_to_National,State,National,3.8,468.3,201.2,218.8
State_to_National,State,National,3.8,471.9,201.6,218.4
State_to_National,State,National,3.8,475.5,202.0,218.0
State_to_National,State,National,3.8,479.1,202.3,217.7
State_to_National,State,National,3.8,482.7,202.5,217.5
State_to_National,State,National,3.8,486.2,202.7,217.3
State_to_National,State,National,3.8,489.8,202.9,217.1
State_to_National,State,National,3.8,493.4,203.0,217.0
State_to_National,State,National,3.8,497.0,203.0,217.0
National_to_Elite,National,Elite,44.4,513.0,203.0,217.0
National_to_Elite,National,Elite,44.4,516.6,203.0,217.0
National_to_Elite,National,Elite,44.4,520.2,203.0,217.0
National_to_Elite,National,Elite,44.4,523.8,203.0,217.0
National_to_Elite,National,Elite,44.4,527.3,203.0,217.0
National_to_Elite,National,Elite,44.4,530.9,203.0,217.0
National_to_Elite,National,Elite,44.4,534.5,203.0,217.0
National_to_Elite,National,Elite,44.4,538.1,203.0,217.0
National_to_Elite,National,Elite,44.4,541.7,203.0,217.0
National_to_Elite,National,Elite,44.4,545.2,203.0,217.0
National_to_Elite,National,Elite,44.4,548.8,203.0,217.0
National_to_Elite,National,Elite,44.4,552.4,203.0,217.0
National_to_Elite,National,Elite,44.4,556.0,203.0,217.0
National_to_Elite,National,Elite,44.4,559.6,203.0,217.0
National_to_Elite,National,Elite,44.4,563.2,203.0,217.0
National_to_Elite,National,Elite,44.4,566.8,203.0,217.0
National_to_Elite,National,Elite,44.4,570.3,203.0,217.0
National_to_Elite,National,Elite,44.4,573.9,203.0,217.0
National_to_Elite,National,Elite,44.4,577.5,203.0,217.0
National_to_Elite,National,Elite,44.4,581.1,203.0,217.0
National_to_Elite,National,Elite,44.4,584.7,203.0,217.0
National_to_Elite,National,Elite,44.4,588.2,203.0,217.0
National_to_Elite,National,Elite,44.4,591.8,203.0,217.0
National_to_Elite,National,Elite,44.4,595.4,203.0,217.0
National_to_Elite,National,Elite,44.4,599.0,203.0,217.0
National_to_Elite,National,Elite,44.4,602.6,203.0,217.0
