state_code,state_name,lon,lat,participants_thousands,participation_rate_pct,players_per_thousand,registered_clubs
NSW,New South Wales,146.5,-32.0,162.1,2.1,19.3,85
VIC,Victoria,143.8,-36.8,148.8,2.4,22.2,72
QLD,Queensland,143.5,-22.5,84.2,1.6,15.3,41
WA,Western Australia,121.5,-26.0,38.9,1.5,13.4,28
SA,South Australia,135.5,-30.0,19.6,1.2,10.9,18
TAS,Tasmania,146.5,-42.5,4.2,0.8,7.4,6
ACT,Australian Capital Territory,149.0,-35.5,8.1,1.8,17.6,8
NT,Northern Territory,133.5,-19.5,2.1,0.9,8.4,3
